Sz3.1.o	odločitev	Sozei, Sozet, Sozdr, Sozmr	ev – @v
Sz3.1.l	/	Slzei, Slzet, Slzdr, Slzmr	ev – @v
Sz3.1.l-ednina	Lokev	Slzei, Slzet	ev – @v
Sz3.1.l-množina	Ponikve	Slzmr	ev – @v
Sz3.1.o-V1	cerkev	Sozei, Sozet, Sozdr, Sozmr	ev – @v
Sz5.1.o	igra	Sozdr, Sozmr	er – @r
Sz5.1.l	Petra	Slzdr, Slzmr	er – @r
Sz5.1.o-množina	citre	Sozmr	er – @r
Sz5.1.l-množina	Pekre	Slzmr	er – @r
Sz5.1.o-V1	sestra	Sozdr, Sozmr	er – @r
Sz5.2.o	izkušnja	Sozdr, Sozmr	enj – @nj
Sz5.2.l	/	Slzdr, Slzmr	enj – @nj
Sz5.2.l-množina	Bitnje	Slzmr	enj – @nj
Sz5.3.o	kaplja	Sozdr, Sozmr	elj – @lj
Sz5.3.l	/	Slzdr, Slzmr	elj – @lj
Sz5.3.o-množina	grablje	Sozmr	elj – @lj
Sz5.3.l-množina	Trbovlje	Slzmr	elj – @lj
Sz5.3.o-V1	zemlja	Sozdr, Sozmr	elj – @lj
Sz5.4.o	megla	Sozdr, Sozmr	el – @l
Sz5.4.l	/	Slzdr, Slzdr	el – @l
Sz5.4.o-množina	orgle	Sozmr	el – @l
Sz5.4.l-množina	Murgle	Slzmr	el – @l
Sz5.4.o-V1	metla	Sozdr, Sozmr	el – @l
Sz5.5.o	tekma	Sozdr, Sozmr	em – @m
Sz5.5.l	/	Slzdr, Slzmr	em – @m
Sz5.6.o	opna	Sozdr, Sozmr	en – @n
Sz5.6.l	Vesna	Slzdr, Slzmr	en – @n
Sz5.6.l-množina	Ravne	Slzmr	en – @n
Sz5.7.o	spužva	Sozdr, Sozmr	ev – @v
Sz5.7.l	/	Slzdr, Slzmr	ev – @v
Sz7.1.o	bolezen	Sozei, Sozet	en – @n
Sz7.1.l	/	Slzei, Slzet	en – @n
Sz7.2.o	misel	Sozei, Sozet	el – @l
Sz7.2.l	/	Slzei, Slzet	el – @l
Sz7.3.o	povodenj	Sozei, Sozet	enj – @nj
Sz7.3.l	/	Slzei, Slzet	enj – @nj
Sz7.4.o	pesem	Sozei, Sozet	em – @m
Sz7.4.l	/	Slzei, Slzet	em – @m
Sz8.1.o	/	Sozei, Sozet	en – @n
Sz8.1.l	/	Slzei, Slzet	en – @n
Sz8.1.o-V3	raven	Sozei, Sozet	en – @n
Sz8.3.o	/	Sozei, Sozet	er – @r
Sz8.3.l	/	Slzei, Slzet	er – @r
Sz8.3.o-V3	reber	Sozei, Sozet	er – @r
Sz8.4.o	/	Sozei, Sozet	et – @t
